review,aspects,scores,sentiment,sentiment_score
Trip Verified     booked through  because Loganair dont have representatives  Manchester airport Loganair cancelled the flight but someone   marked the flight  delayed   minutes Ive spent over  days chasing BAs complaints department who are  best totally i,"['booking problems', 'flight delays', 'customer service']","[0.9288963079452515, 0.8786392211914062, 0.7531394958496094]",negative,0.7098724842071533
Trip Verified    British airways lost bags  LHR then found them Sent  Cologne where  sat for two days before they told  but  one was there  give     spent  days  Europe without  bag bought clothes  refused  reimburse  They closed the case  days after  retu,"['baggage issues', 'booking problems', 'staff attitude']","[0.9935943484306335, 0.9769803881645203, 0.9619343876838684]",negative,0.5759245157241821
Trip Verified  The check  process and rewardloyalty program   mess   never able  get points even when trying  through  partner airline Unfortunately for work  have  travel with them sometimes  This time the flight was delayed,"['flight delays', 'booking problems', 'baggage issues']","[0.9918860197067261, 0.9785778522491455, 0.5406445860862732]",negative,0.8986322283744812
Trip Verified     flew  November  but  took this long  seek  satisfactory response from  which  ultimately never received  refused  rebook  son and    cost that day due  lack  Underground service  alternate service  forced   buy new tickets and never admit,"['booking problems', 'flight delays', 'staff attitude']","[0.9967885613441467, 0.9724089503288269, 0.9700618386268616]",negative,0.8102561831474304
Trip Verified   left for London from Johannesburg     December   only issue with that flight was the pillows they gave  were dirty and when   year old dropped some juice and  asked  cabin crew member walking past for some serviettes she told     the bathro,"['staff attitude', 'customer service', 'flight delays']","[0.9494470357894897, 0.8493795394897461, 0.2665867209434509]",negative,0.7637775540351868
Trip Verified    After  excellent flight    CPT  LHR the return was not  good  have moved the Business Class checkin from one end  the hall  the other   for  apparent reason   nice long walk  check  Fast Track security was very slow  minutes The indicator ,"['staff attitude', 'booking problems', 'flight delays']","[0.8440442085266113, 0.7488270998001099, 0.6893316507339478]",negative,0.7239296436309814
Trip Verified      recent flight from Cyprus    the second the cabin door was closed the pilot announced  would  held  the runway for  hours They know this prior and did not inform passengers until after  had boarded The flight home took nearly  hours due ,"['flight delays', 'staff attitude', 'customer service']","[0.9953651428222656, 0.9749613404273987, 0.8131968975067139]",neutral,0.5273770093917847
Trip Verified    Flight   arrived  Rome   December where ALL passengers received  SMS from   say that their luggage had been left  London   wife and  completed the required form but were   queue for  hours  have  checked   agent  Rome believe the baggage w,"['baggage issues', 'customer service', 'flight delays']","[0.9943117499351501, 0.9468927979469299, 0.8739153742790222]",neutral,0.8719367384910583
Trip Verified    This was the first time  flew British Airways and  was  huge disappointment While the seat  quite good the food  very simple and the service  subpar But not only that Heathrow airport their hub   far the worst large airport Ive seen  Europ,"['staff attitude', 'customer service', 'lounge experience']","[0.8778104782104492, 0.7968725562095642, 0.3974083960056305]",negative,0.9013369679450989
Trip Verified    Pretty good flight but still some small things that can  improved Check  was quick Lounge was good  tasty food and well chosen wines Disappointingly they had not secured  gate   had  bus  the aircraft and  was all  hot scrum  got the last ,"['customer service', 'lounge experience', 'food quality']","[0.8168268799781799, 0.7948138117790222, 0.6704249978065491]",positive,0.8719319701194763
